question_id,answer_filename,answer_text,answer_correct,source,label
00041_42236,M1_1_01_00041_42236_A.png,"$1$은 소수가 아니다. $ 49=7 \\times 7 $이므로 $49$도 소수가 아니다.따라서 소수가 아닌 수는 ①, ⑤이다. $1$보다 큰 자연수 중에서 $1$과 그 수 자신만을 약수로 가지는 수를 소수라고 한다.","①, ⑤",111.수학 과목 문제생성 데이터,validation
00041_42257,M1_1_01_00041_42257_A.png,"\\( \\begin{array} {r} 105= & 3 \\times 5 \\times 7 \\\\ 135= & 3^{3} \\times 5       \\\\ & 3^{2} \\times 5^{2} \\times 7 \\\\ \\hline \\therefore \\text { (최대 공약수 })= & 3 \\times 5=15   \\end{array} \\) 최대공약수는 소인수분해하여 공통인 소인수 중 거듭제곱의 지수가 같은 것은 그대로, 다른 것은 작은 쪽을 택하여 모두 곱한다.",$15$,111.수학 과목 문제생성 데이터,validation
00041_42272,M1_1_01_00041_42272_A.png,$a$와 $b$의 공배수는 두 수의 최소공배수의 배수이므로 $21$의 배수이다.따라서 <보기> 중 $a$와 $b$의 공배수는 $42$와 $105$의 $2$개이다. 공배수는 최소공배수의 배수이다.,$2$개,111.수학 과목 문제생성 데이터,validation
00041_42299,M1_1_01_00041_42299_A.png,"만들려고 하는 정육면체의 한 모서리의 길이는 $ 6,8,4 $ 의 최소공배수이므로 (정육면체의 한 모서리의 길이) $ =24(\\mathrm{~cm}) $ 따라서, 가로로 $4$개, 세로로 $3$개, 높이로 $6$개씩 쌓으면 되므로 (필요한 벽돌의 개수) $ =4 \\times 3 \\times 6=72 $ (개)   ‘최소한’, ‘가장 작은’ 등의 표현이 있으면 대체로 최소공배수를 묻는 문제이다.",$72$개,111.수학 과목 문제생성 데이터,validation
00041_42301,M1_1_01_00041_42301_A.png,"(만들려고 하는 정사각형의 한 변의 길이는 $32$와 $24$의 최소공배수이므로 (정사각형의 한 변의 길이) =($32$와 $24$의 최소공배수) =$96 (cm)$ $\\therefore$ (필요한 종이의 장수) =$\\frac{96}{32} \\times \\frac{96}{24}$ =$3 \\times 4$ =$12$장 ‘최소한’, ‘가능한 한 작은’ 등의 표현이 있으면 대체로 최소공배수를 이용한 문제이다.",$12$장,111.수학 과목 문제생성 데이터,validation
00041_42308,M1_1_01_00041_42308_A.png,"구하는 수에 $2$ 를 더한 수는 $6,9$ 의 공배수이고 공배수는 최소공배수의 배수이다. 그런데 $6$ 과 $9$ 의 최소공배수인 $18$ 의 배수 $ 18,36,54, \\cdots $, 중 $50$ 에 가장 가까운 수는 $54$ 이다. 따라서, (구하는 수) $ +2=54 $ 이므로 $ ( $ 구하는 수 $ )=54-2=52 $ 구하는 수에 $2$ 를 더한 수는 $6,9$ 의 공배수이다.",$52$,111.수학 과목 문제생성 데이터,validation
00041_42329,M1_1_01_00041_42329_A.png,(두 수의 곱)=(최대공약수)$\\times$(최소공배수)이므로$200=10×$(최소공배수)$ \\therefore $(최소공배수)$ =20 $ (두 수의 곱)=(최대공약수)$\\times$(최소공배수),$20$,111.수학 과목 문제생성 데이터,validation
00041_42359,M1_1_01_00041_42359_A.png,"학생 수는 $ 62-2,70+2 $ 의 공약수이다. 즉, 구하는 학생 수는 $60$ 과 $72$ 의 최대공약수인 $12$ 의 약수이다. 그런데 다과회에 참가한 학생이 $10$ 명 이상이므로 구하는 학생 수는 $12$ 명이다. 과자 $60$ 개, 사탕 $72$ 개를 나누어 주면 남김없이 똑같이 나누어 줄 수 있다.",$12$명,111.수학 과목 문제생성 데이터,validation
00041_42360,M1_1_01_00041_42360_A.png,"장미꽃 나무를 심는 간격은 $120$과 $72$의 공약수이고 최소한의 나무를 심어야 하므로 간격을 최대화해야 한다. 즉, $ ( $ 장미꽃 나무를 심는 간격 $ )=(120 $과 $72$의 최대공약수 $ )=24(\\mathrm{~m}) $ 그런데 이미 심어져 있는 나무는 제외해야 하므로 \\( \\begin{array}{l} \\therefore \\text { (필요한 나무의 그루 수) } \\\\ =\\left(\\frac{120}{24}-1\\right)+\\left(\\frac{72}{24}-1\\right) \\\\ =4+2 \\\\ =6 \\text { (그루) } \\end{array} \\) - 이미 심어져 있는 나무를 제외하고 생각한다. - '최소한'의 표현이 있지만 최소공배수를 이용하는 것은 아니다.",$6$그루,111.수학 과목 문제생성 데이터,validation
00041_45756,M1_1_01_00041_45756_A.png,"① $3×3×3×3×3=3^5$ ② $a×a×a×a=a^4$ ③ $2×2×3×3×3=2^2×3^3$ ④ $3×3×3×7×7×7=3^3×7^3$ ⑤ $3×3×5×5×5=3^2×5^3$ 거듭제곱의 표현은 $3×3×3×3=3^4,2×2×2×5×5=2^3×5^2$과 같이 표현된다.",⑤,111.수학 과목 문제생성 데이터,validation
00041_60819,M1_1_01_00041_60819_A.png,② $2$는 소수이지만 짝수이다.,②,111.수학 과목 문제생성 데이터,validation
00041_60893,M1_1_01_00041_60893_A.png,"(1) 8의 배수인 8, 16, 24, 32, …이다.(2) 6의 배수인 6, 12, 18, 24, …이다.","(1) 16, 24, 32 (2) 12, 18, 24 (3) 24, 24",111.수학 과목 문제생성 데이터,validation
00041_60894,M1_1_01_00041_60894_A.png,(1) 정사각형 모양의 보도 블록의 한 변의 길이는 직사각형 모양의 마당의 가로와 세로의 길이를 나눌 수 있어야 하므로 $120$ 과 $96$ 의 공약수이어야 한다. 그런데 보도 블록은 가능한 한 큰 것이므로 보도 블록의 한 변의 길이는 $120$ 과 $96$ 의 최대공약수이어야 한다. (2) 가로에 놓이는 보도 블록의 개수는 $ 120 \\div 24=5 $ (개 ) 세로에 놓이는 보도 블록의 개수는 $ 96 \\div 24=4 $ (개) 따라서 필요한 보도 블록의 개수는 $ 5 \\times 4=20 $ (개),(1) $ 24 \\mathrm{~cm} $ (2) $20$ 개,111.수학 과목 문제생성 데이터,validation
00041_60943,M1_1_01_00041_60943_A.png,"$1  2 \\times 2 \\times 3 \\times 3 \\times 3 \\times 5 \\times 5 \\times 5 \\times 5=2^{2} \\times 3^{3} \\times 5^{4} $ 이므로 $ a=2, b=3, c=4 $ 따라서 $ a+b-c=2+3-4=1 $",$1$,111.수학 과목 문제생성 데이터,validation
00041_60952,M1_1_01_00041_60952_A.png,$ 540=2^{2} \\times 3^{3} \\times 5 $ 이므로 곱할 수 있는 가장 작은 자연수는 각 소인수의 지수가 짝수가 되도록 하는 $ 3 \\times 5=15 $ 이다.,(4),111.수학 과목 문제생성 데이터,validation
00041_60956,M1_1_01_00041_60956_A.png,최대공약수는 $ 2 \\times 3 \\times 5 $ 이므로 두 수의 공약수는 $ 2 \\times 3 \\times 5 $ 의 약수이다.,②,111.수학 과목 문제생성 데이터,validation
00041_60967,M1_1_01_00041_60967_A.png,"$ A $ 와 $ B $ 를 $6$으로 나눈 몫을 각각 $ a, b $ 라고 하면 $ a $ 와 $ b $ 는 서로소이다. 두 수의 최소공배수는 $12$ 이므로 $ 6 \\times a \\times b=12 $ 에서 $ a \\times b=2 $ 따라서 $ A \\times B=(6 \\times a) \\times(6 \\times b)=36 \\times 2=72 $",⑤  $ A \\times B=( $ 최대공약수 $ ) \\times( $ 최소공배수 $ )=6 \\times 12=72 $,111.수학 과목 문제생성 데이터,validation
00041_61019,M1_1_01_00041_61019_A.png,$ 700=2^{2} \\times 5^{2} \\times 7 $ 이므로 $ 2^{3} \\times 7 $ 은 $700$ 의 약수가 아니다.,⑤,111.수학 과목 문제생성 데이터,validation
00041_61033,M1_1_01_00041_61033_A.png,"① $1$은 소수도 합성수도 아니다. ④ $21$의 약수는 $1, 3, 7, 21$이므로 소수가 아니다. ⑤ $39$의 약수는 $1, 3, 13, 39$이므로 소수가 아니다.","②, ③",111.수학 과목 문제생성 데이터,validation
00041_62734,M1_1_01_00041_62734_A.png,$\\therefore  .216=2^{3} \\times 3^{3} $,(1) $ 2^{3} \\times 7 $ (2) $ 2^{7} $ (3) $ 2^{4} \\times 3^{2} $ (4) $ 2^{3} \\times 3^{3} $ (5) $ 17^{2} $ (6) $ 2^{2} \\times 3 \\times 5^{2} $,111.수학 과목 문제생성 데이터,validation
00041_62738,M1_1_01_00041_62738_A.png,(5) $ 200=2^{3} \\times 5^{2} $ 이므로 $ 4 \\times 3=12 $ (개) (6) $ 270=2 \\times 3^{3} \\times 5 $ 이므로 $ 2 \\times 4 \\times 2=16 $ (개),(1) $6$개 (2) $8$개 (3) $27$개 (4) $7$개 (5) $12$개 (6) $16$개,111.수학 과목 문제생성 데이터,validation
